;;;;;;Series;BEGINNERS ;;;;;;;ENTHUSIAST;;;;;;;;;;;;;STARTER;;;;;;;;;;;;;;;;BASIC;;;;;;;;;TECHNO;;;;;;DYNAMIC;;;;;;;;;;;;COLLECTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EVOLUTION;;;;;;Action Control;;Mystery Sets;;;;;;;;;MISSION UNIVERSE;;;;;;;;;MASTER CONNECTION;;;;;;Sp. Edt.;Ltd. Edt.;MOTION SYSTEM;;;;;;;;;;;;;;;;;;;;
;;;;;;Set Number;301;1311;302;1312;303;1313;304;1314;205;1215;206;1216;207;1217;208;1218;209;1219;210;1223(2);101;102;103;104;105;106;201;202;203;204;301;302;303;501;502;503;401;1401;402;1402;403;1403;404;5402;8403;1404;405;1405;406;1316;2231;4015;4016;4033;4034;4036;4037;4065;4068;8256;7064;2325;5215;2101;2102;2103;2104;2105;2106;2201;2202;2203;2204;2205;2207;2301;2302;2303;2304;2305;2401;2403;2404;2405;2501;2502;2503;2504;2920;2930;2940;2950;3910;3920;501;502;503;504;505;506;9515;9526;NoNr01;NoNr02;499622;499623;499624;499630;499751;499860;490001;4800;4805;4806;4810;4820;4830;4831;4840;4850;10;20;30;40;50;60;7080;;1511;1512;1513;1514;1515;1516;1517;1518;1519;2511;2512;2513;3505;3506;3507;4505;5510;6520;7530;8540;9550
;;;;;;Set Name;Begin.;Suppl.;Begin.;Suppl.;Begin.;Suppl.;Begin.;Suppl.;Enth.;Suppl.;Enth.;Suppl.;Enth.;Suppl.;Enth.;Suppl.;Enth.;Suppl.;Enth.;Mecha;Dump;Mechan;Bulldo;Motor;Lorry ;Road ;Tractor;Trailer;Plough;Combine;Breakd.;Rescue ;Water;Sky;Space;Intercep;Basic 1;Conv.;Basic 2;Conv.;Basic 3;Conv.;Basic 4;Erector;Erector;Conv.;Techno;Conv.;Techno;Conv.;Techno;Motor ;Motor;Helicopt;Aircraft;Racing;Racing;4 Wheel;Rescue;Ferris;Master;Power;Storage;Rescue;Scout;Dire;Survey;Sky;Sky;Dragster;Formula;Indy;Go Kart;Midget;Sand;Flat Tra;Low;Dune;Motor;Smooth;Snow;Farm;Lift &;Crusher;Rough;Fire;Trouble;Quad;Cloud;Big;Wind;Cool;Road;Super;Evolut;Evolut;Evolut;Evolut;Evolut;Evolut;Moon;Building;Helyco;Kart;;;;;;;Same as;XR;Energy;Obervat;Defender;Meta;Detector;Interstel;Space;Space;Cyber;Cyber;Roto;Abyss;Survivor;6 x 4;Anniver;Centenial;Forklift;Helicop;Crazy;Three;Gliding;MerryGo;Quad;Motor;Micro;2 Model;2 Model;2 Model;5 Model;5 Model;5 Model;7 Model;10 Mod.;20 Mod.;30 Mod.;40 Mod.;50 Mod.
;;;;;;;1;1X;2;2X;3;3X;4;4X;5;5X;6;6X;7;7X;8;8X;9;9X;10;nisms;Truck;Digger;zer;Scraper;M. Crane;Leveller;;Sprayer;& Roller;Harvest.;Vehicle;Helicopt;Canon;Hunter;Warrior;tor;;C1;;C2;;C3;;Adventr;Set 3*;C4;5;C5;6;6X;MO;Bikes;Bikes;;;Cars;Cars;Drives;Vehicles;Wheel;Set;Tool;Case;Copter;Plane;Devil;Plane;Mobile;Hunter;;One;Car;;Car;Buggy;ck Racer;Rider;Buggy;Scooter;Cruser;Cat;Tractor;Haul;;Rider;Fighter;Shooter;Buggy;Masters;Wheels;Riders;Cruisers;Haulers;Flyers;ion 1;ion 2;ion 3;ion 4;ion 5;ion 6;Vehicles;Site;pter;;;;;;;;499860;Shuttle;Station;ion Unit;Unit;Cruiser;Unit;lar Car;X-Plorer;Base;Cycle;Buggy;Truck;Visitor;Car;Machine;sary Set;Crane;Truck;ter;Machine;Wheeler;Microlite;Round;Buggy;Cycle;Lite;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set
;;;;;;Year Released;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1989;1990;1990;1990;1990;1990;1991;1990;1990;1990;1990;1991;1991;1991;1993;1993;1993;1991;1991;1991;1991;1991;1991;1991;1995;1995;1991;1991;1991;1991;1991;1991;1993;1995;1993;1995;1993;1995;1993;1995;1994;1994;1994;1994;1995;1995;1995;1995;1995;1996;1995;1995;1995;1995;1995;1995;1995;1995;1995;1996;1996;1995;1995;1996;1996;1995;1995;1995;1996;1996;1996;1996;1996;1995;1995;1996;1996;1996;1996;1996;1996;1996;1996;1990;1990;1996;1996;1996;1996;1998;1998;1999;1998;1998;1998;1997;1997;1997;1998;1997;1997;1998;1998;1998;1998;1998;1998;1998;1999;1999;1999;1999;1999;1999;1999;2000;2000;2000;2000;2000;2000;1999;1999;1999;2000;1999;1999;1999;1999;1999
Part No.;;New No.;Col;Mat;Description;Year Phased-out;1991;1991;1991;1991;1991;1991;1991;1991;1991;1991;1991;1992;1992;1992;1992;1992;1992;1992;1992;1994;1996;1996;1994;1991;1994;1994;1996;1991;1991;1991;1996;1996;1994;1994;1994;1996;1996;1996;1996;1996;1996;1996;1996;1996;1996;1996;1996;1996;1996;1992;1996;1995;1997;1995;1997;1995;1997;1994;1997;1997;1999;1999;1999;1999;1998;1999;1998;1996;1999;1999;1999;1998;1997;1996;1998;1998;1998;1999;1997;1999;1999;1996;1999;1999;1999;1996;1996;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1999;1998;1998;1991;1991;1998;1998;1998;1998;1999;2000;2000;1999;1999;1999;1999;1999;1999;1999;1999;1999;2000;2000;2000;2000;2000;2000;2014;2000;2000;2000;2000;2000;2000;2000;2001;2001;2001;2011;2011;2005;2000;2000;2001;2005;2005;2005;2005;2005;2005
1;;;;zn;"Perforated Strips, 12 1/2""";;;;;;;2;2;2;4;6;10;2;12;;12;2;14;10;24;;;;;;;;;;;;;;;;;;;0;;0;;2;2;;;2;4;4;8;4;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;grd;sp;"Perforated Strips, 12 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;
1;a;;;zn;"Perforated Strips, 9 1/2""";;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;0;;0;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
1;a;;grd;sp;"Perforated Strips, 9 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;
1;a;;orl;sp;"Perforated Strips, 9 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
