;;;;;;Series;MASTER CONNECTION;;;;;;;MOTION SYSTEM / MULTI MODELS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Future Master;;;Crazy Inventors;;;;;;;;;Design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Special Edition Landmarks;;;;;;;;Speed Play;;;;;Tuning R/C Cars;;;;;;;;;;;;;;Micro Kits;;;;;Maxi Kits;;;;;;;;Robots Collection;;;;;;Nano Series;;;;;;;XTREME Series;;;;;;;;Turbo Series;;;;;;;;;;;;Space Chaos Series;;;;;;;;;;;;;;;;;;;Tintin Series;;;Lapins Cretins / Rabbids Series;;;;;;;;;;;;Evolution Series;;;;;;;;Special Edition;;;;;;;;;;;;;;;;;;;;;
;;;;;;Set Number;9860;10;20;30;40;50;60;1;1511;1512;1513;1514;1515;1516;1517;1518;1519;2511;2512;2513;2517A;2517B;2520;3501;3505;3506;3507;3550;3555;4505;4550;5200;5510;5550;5560;6515;6555;6520;6560;6550;7555;7530;7531;7532E;7534E;8557;7550;8540;8541;2558;9550;4600;7600;8600;5650;6651;7650;7651;8650;8651;925;2706;2707;2711;2712;2713;2714;2715;2716;2717;2723;2724;2725;2726;2727;2727;2728;2729;2731;2733;2734;2735;2736;2737;2737;2738;3700;3700;3710;4700;4700N;5700;5700N;6700;6700N;7700;7700N;8700;8701;8701;8702;8705;509;;511;512;513;516;518;522;4901;7901;8901;9901;9902;4951;4952;6950;6950;6950;6952;8950;8950;8950;8951;8952;8956;9950;9952;1700;1701A;1701B;1701C;1701D;0708A;0708B;0708C;0708D;0708F;0708G;0708H;0708I;1400A;1400B;1400C;2400A;2400B;2400C;0490A;0490B;0490C;0490D;0490E;0490F;0490G;1820;1822B;1822C;2820;42020821;5820;6820;9820;350;2350A;2350B;2353A;2353B;3350A;3350B;6350;6353;6354;8350;6023590;100;2100A;2100B;3100A;3100B;3150A;3150B;4100A;4100B;4104A;4104B;42020100;5101;5102;5104;5105;6102;7101;7104;551;552;553;0130A;0130B;2250A;2250B;2260;3250;5250;5260;6250;7250;7253;7255;3200;4200;5210;6200;7200;8200;8210;6023640;7080;507;508;8257;517;521;525;528;3702;530;532;0580E;3703;4701;7500;0581E;;;;543;546;536
;;;;;;Set Name;Give;Cyber;Cyber;Roto;Abyss;Survivor;6 x 4;Give;Forklift;Helicop;Crazy;Three;Gliding;MerryGo;Quad;Motor;Micro;2 Model;2 Model;2 Model;2 Model;2 Model;3 Model;5 Model;5 Model;5 Model;5 Model;5 Model ;3 Model ;7 Model;7 Model ;Dual;10 Mod.;10 Mod.;10 Mod.;15 Mod;15 Mod;20 Mod.;20 Mod.;25 Mod.;25 Mod.;30 Mod.;IR Cont;Erector;Erec. M.;35 Mod.;25 Mod.;40 Mod.;DualMot;50 Mod.;50 Mod.;Drilling;Bulldozer;Excavator;Rattle;Bat;Helicopter;Time M.;Steam;Airship;Give;2711;2713;Sidecar;ATV;Helicopt.;Excavat.;Snowmob.;Speedbt;2716;Beach;Scooter;Microlite;Catmran;Tractor;Tractor;Digger;Aeropl.;2725;Helicopt;JetPlane;MotCycl;Digger;Bi-plane;Bi-plane;Chopper;Design;NEXT;New Des.;Design  ;New;Design;New;Design;New;Design;New;RC;RC;M&S;RC;RC;Land;M&S;Empire;Big Ben;Eiffel;US;Small;Small;Motor;Heli-;T-Rex;Robot;Ptero-;Tuner;Tuner;Urban;J. Lewis;M&S;Urban;Street;NEXT;J. Lewis;Cruising;Cruising ;Carbon;Sound;Sound;Race Car;F1;Helicopt;Bi-Plane;Racer;Buggy;Excava;Forklift;Motor;M&S;M&S;M&S;M&S;Mini M.;MinMet;MinMet;Met.Rob.;Met.Rob;Met.Rob.;F1 Car;Helicop;Plane;Micro;Bull;Motor;M&S;Micro;Micro;Micro;Buggy;Deluxe ;Dragster;Power;RC 4x4;Combo;Prot. 2;Prot. 2;Mini;Mini;Prot. 3;Prot. 3;RC;Evolutio;Evolutio;RC Pro;RC;Erector;SF;DP;SF;DP;SF;DP;SF;DP;SF;DP;Deluxe;SF;DP;DP Toxic;SF Tit.;DP Com;SF Des;SP Heart;4 X 4;Sea;Unicorn;Oeufs;Oeufs;Mini Ve;Mini Ve;Ovni;Rodeo;Racing;Crazy;Infernal;Time Wa;Sub;Voiture;Mini;Motor;Quad;4 X 4;Tow;Crane;Helicop;Excava;100th;Train;Renault;Ferris;Concorde;Space;Spitfire;King;M&S;Vintage;Mechan.;Dual Mt;Red;M&S;M&S;Erector;M&S;M&S;THINGS;Erector;M&S;Erector
;;;;;;;Away;Cycle;Buggy;Truck;Visitor;Car;Machine;Away;Truck;ter;Machine;Wheeler;Microlite;Round;Buggy;Cycle;Lite;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;8 Mod.S.;Build. S.;Set;Set;Set;IR Cont;Set;Set;Vehicle;Set;Set;Trap;Set;Set;Clock;Boat Set;Set;Away;2712;2714;Starter S.;Starter S.;Starter S.;Starter S.;Starter S.;Starter S.;2726;Buggy;;;;M&S;(green);;;2729;;M&S;;M&S;M&S;M&S;M&S;Advancd;Des.Adv;Advancd;1;Design 1;2;Design 2;3;Design 3;4;Design 4;Off Road;Truck;RC Truk;Hummer;Concept;marks;Landmks;S. Build.;;Tower;Capitol;Eiffel T.;Big Ben;bike;copter;;;dactyl;Pick up;Race Car;;Urban;Urban;Red vers.;Racing;St.Rac.;St.Rac.;Style;St. Blue;;Syst.Car;Sys.blue;;;;;;;tor;;bike;Digger;Motorbk;Quad;Dumper;Rob. Yel;Rob.blue;Rob.green;orange;blue;black;;ter;;light;dozer;bike;Robot;;Dragster;Truck;;Combo S;;Motor;;Set;red;blue;Kart;Moto;green;blue;;Blue;Red;;Rally;Battle S.;Drone;Drone;Patrol;Patrol;Raider;Raider;Bomber;Bomber;Corvette;Corvettr;Battle S.;Fighter;Fighter;Scorpio;Hawk;mander;troyer;Darkness;;plane;;Mini Ve.;Mini Ve.;hicles;hicles;;Machine;Trolley;Toilets;Catapult;sh. Mach.;marine;de Police;Loader;cycle;;;Truck;Truck;ter;tor;Anniv. S;Set;F1 Car;Wheel;;Center;;Ghidorah;R.A.Hwk;Set;Workshp;Designer;Airplane;S.Camel;F1 Car;Met.Des.;Rocket;Tractor;Beetle;Mot.RC;Harrier;Fire Eng.
;;;;;;Year Released;1998;1998;1998;1998;1998;1998;1998;1999;1999;1999;1999;1999;1999;1999;2000;2000;2000;2000;2000;2000;2012;2012;2010;2005;1999;1999;1999;2011;2014;2000;2011;2011;1999;2010;2014;2005;2014;1999;2014;2011;2014;1999;2008;2008;2009;2014;2010;1999;2008;2014;1999;2001;2001;2001;2002;2002;2001;2004;2001;2001;2005;2008;2008;2004;2004;2004;2004;2004;2004;2008;2009;2007;2007;2007;2006;2009;2009;2009;2007;2009;2007;2009;2008;2008;2009;2008;2005;2005;2009;2004;2008;2003;2007;2003;2007;2003;2007;2004;2005;2005;2006;2009;2004;2004;2004;2004;2004;2004;2005;2005;2005;2005;2005;2005;2006;2007;2007;2006;2006;2008;2008;2006;2006;2007;2006;2007;2009;2007;2009;2007;2008;2008;2008;2008;2009;2009;2009;2009;2009;2009;2010;2010;2009;2009;2009;2009;2009;2009;2010;2010;2010;2010;2010;2010;2010;2010;2011;2011;2010;2011;2010;2010;2010;2011;2011;2011;2012;2012;2011;2011;2011;2012;2012;2011;2014;2011;2011;2011;2011;2011;2011;2011;2011;2011;2012;2012;2011;2011;2011;2012;2012;2011;2011;2012;2011;2011;2011;2013;2013;2013;2013;2013;2013;2012;2012;2012;2012;2013;2013;2014;2014;2013;2013;2013;2013;2013;2014;1998;2002;2003;2003;2005;2005;2005;2006;2006;2007;2007;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2010
Old Prt N.;;New No.;Col;Mat;Description;Year Phased-out;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2001;2001;2001;2011;2011;2014;2014;2014;2014;2011;2000;2000;2001;2014;2014;2014;2014;2014;2010;2014;2014;2014;2014;2011;2014;2014;2014;2011;2011;2011;;2014;2014;2014;2010;2014;2014;2003;2004;2004;2006;2006;2006;2006;2004;2006;2006;2009;2009;2008;2008;2008;2008;2008;2008;2009;2014;2010;2010;2010;2007;2014;2014;2014;2009;2014;2008;2014;2009;2009;2010;2009;2012;2006;2012;2008;2011;2008;2011;2008;2011;2008;2011;2010;2010;2006;2008;2011;2006;2005;2014;2014;2006;2014;2014;2010;2010;2010;2010;2010;2010;2011;2011;2007;20207;2009;2011;2011;2007;2008;2007;2011;2012;2009;2012;2008;2014;2014;2014;2014;2014;2014;2014;2014;2010;2010;2011;2011;2012;2012;2012;2012;2012;2012;2011;2011;2011;2011;2011;2011;2011;2013;2013;2013;2013;2012;2013;2013;2012;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2015;2013;2014;2014;2014;2014;2014;2014;2012;2012;2014;2014;2013;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2015;2014;2010;2007;2010;2010;2006;2010;2009;2007;2010;2010;2008;2012;2008;2008;2009;2009;2009;2009;2012;2010;2012
1;;A301;;zn;"Perforated Strips, 12 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
1;;A301;grn;sp;"Perforated Strips, 12 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;0;;;;0;;;;;;
1;a;A801;;zn;"Perforated Strips, 9 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;0;;;;0;;;;;;2
1;a;A801;kh;sp;"Perforated Strips, 9 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;0;;;;0;;;;;;
1;a;A801;wt;sp;"Perforated Strips, 9 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
